,FORE1,FORE3
2021:01,1812.780447,
2021:02,1816.600485,
2021:03,1818.781155,
2021:04,1820.502204,
2021:05,1822.09439,
2021:06,1823.650447,
2021:07,1825.196376,
2021:08,1826.739464,
2021:09,1828.281757,
2021:10,1829.823826,
2021:11,1831.365833,
2021:12,1832.907822,
2022:01,,1916.534821
2022:02,,1917.451017
2022:03,,1918.985444
2022:04,,1920.681918
2022:05,,1922.420869
2022:06,,1924.170954
2022:07,,1925.923956
2022:08,,1927.677724
2022:09,,1929.431692
2022:10,,1931.185713
2022:11,,1932.939747
2022:12,,1934.693786
2023:01,,1936.447825
2023:02,,1938.201864
2023:03,,1939.955903
2023:04,,1941.709943
2023:05,,1943.463982
2023:06,,1945.218021
2023:07,,1946.972061
2023:08,,1948.7261
2023:09,,1950.48014
2023:10,,1952.234179
2023:11,,1953.988218
2023:12,,1955.742258
